customer_id,customer_name,region,signup_date
1,Customer_1,South,2022-08-08
2,Customer_2,West,2022-06-12
3,Customer_3,East,2022-08-08
4,Customer_4,East,2022-09-27
5,Customer_5,North,2023-09-24
6,Customer_6,North,2023-02-04
7,Customer_7,North,2022-07-01
8,Customer_8,West,2023-09-10
9,Customer_9,East,2022-07-24
10,Customer_10,East,2023-08-05
11,Customer_11,North,2023-07-10
12,Customer_12,West,2022-08-16
13,Customer_13,West,2023-11-27
14,Customer_14,North,2023-09-11
15,Customer_15,North,2023-08-19
16,Customer_16,North,2022-09-07
17,Customer_17,South,2023-03-17
18,Customer_18,South,2023-06-17
19,Customer_19,South,2022-07-15
20,Customer_20,North,2023-11-21
21,Customer_21,East,2023-06-03
22,Customer_22,North,2022-03-11
23,Customer_23,North,2023-10-01
24,Customer_24,South,2023-02-03
25,Customer_25,South,2023-11-03
26,Customer_26,East,2022-07-22
27,Customer_27,North,2022-05-28
28,Customer_28,South,2023-04-17
29,Customer_29,East,2023-10-17
30,Customer_30,North,2022-07-18
31,Customer_31,East,2023-03-02
32,Customer_32,North,2023-10-28
33,Customer_33,North,2023-05-07
34,Customer_34,West,2022-05-22
35,Customer_35,West,2022-11-09
36,Customer_36,West,2022-06-14
37,Customer_37,South,2022-11-10
38,Customer_38,North,2022-01-21
39,Customer_39,East,2022-03-23
40,Customer_40,South,2023-08-04
41,Customer_41,North,2022-05-11
42,Customer_42,South,2023-08-22
43,Customer_43,North,2022-11-01
44,Customer_44,West,2023-01-06
45,Customer_45,North,2023-01-19
46,Customer_46,East,2023-03-21
47,Customer_47,South,2023-03-01
48,Customer_48,South,2022-06-10
49,Customer_49,South,2022-06-27
50,Customer_50,North,2023-09-21
51,Customer_51,West,2023-05-05
52,Customer_52,East,2022-11-23
53,Customer_53,West,2023-08-21
54,Customer_54,West,2022-10-16
55,Customer_55,East,2023-08-16
56,Customer_56,West,2023-10-26
57,Customer_57,North,2023-07-27
58,Customer_58,North,2023-07-27
59,Customer_59,North,2022-12-20
60,Customer_60,South,2022-01-28
61,Customer_61,South,2022-02-12
62,Customer_62,North,2023-11-12
63,Customer_63,West,2023-02-27
64,Customer_64,South,2023-08-21
65,Customer_65,North,2022-06-26
66,Customer_66,South,2023-06-13
67,Customer_67,North,2023-09-02
68,Customer_68,West,2023-05-09
69,Customer_69,North,2022-07-17
70,Customer_70,West,2023-09-02
71,Customer_71,East,2023-07-31
72,Customer_72,North,2023-06-01
73,Customer_73,North,2023-05-29
74,Customer_74,West,2022-01-22
75,Customer_75,East,2022-04-22
76,Customer_76,East,2022-02-26
77,Customer_77,East,2022-03-07
78,Customer_78,North,2022-04-08
79,Customer_79,South,2022-05-24
80,Customer_80,North,2023-03-11
81,Customer_81,West,2023-09-29
82,Customer_82,East,2023-11-10
83,Customer_83,South,2022-03-27
84,Customer_84,North,2023-08-11
85,Customer_85,South,2022-12-10
86,Customer_86,South,2022-10-21
87,Customer_87,East,2023-07-25
88,Customer_88,East,2023-10-12
89,Customer_89,West,2023-09-03
90,Customer_90,South,2022-08-31
91,Customer_91,North,2023-07-15
92,Customer_92,East,2022-02-01
93,Customer_93,East,2023-01-26
94,Customer_94,East,2022-10-04
95,Customer_95,East,2023-06-16
96,Customer_96,South,2022-06-03
97,Customer_97,South,2023-01-18
98,Customer_98,South,2022-03-09
99,Customer_99,North,2022-08-02
100,Customer_100,North,2023-10-17
101,Customer_101,North,2023-01-11
102,Customer_102,East,2022-08-01
103,Customer_103,South,2022-03-20
104,Customer_104,South,2023-09-20
105,Customer_105,West,2023-08-27
106,Customer_106,North,2023-01-16
107,Customer_107,South,2023-11-11
108,Customer_108,East,2022-02-27
109,Customer_109,North,2022-01-26
110,Customer_110,North,2023-03-23
111,Customer_111,North,2022-03-07
112,Customer_112,North,2022-09-11
113,Customer_113,West,2022-02-13
114,Customer_114,West,2022-04-07
115,Customer_115,East,2023-07-08
116,Customer_116,West,2022-08-15
117,Customer_117,West,2023-11-10
118,Customer_118,North,2023-03-12
119,Customer_119,West,2023-08-24
120,Customer_120,South,2023-01-14
121,Customer_121,West,2022-06-27
122,Customer_122,West,2023-03-03
123,Customer_123,South,2022-11-03
124,Customer_124,North,2023-05-19
125,Customer_125,North,2022-09-25
126,Customer_126,South,2023-08-09
